,rank,no_of_weeks,book,authors,publisher,description,date,author1,author2,nyt_name,good_reads_book,author_link,avg_rating,no_of_ratings,year,author_place,place,geometry.type,geometry.coordinates
66,7,5 weeks on the list,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,Knopf Doubleday,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect.",2011-03-13,Stieg Larsson,,THE GIRL WHO PLAYED WITH FIRE,"The Girl Who Played with Fire (Millennium, #2)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.25,909723.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
67,8,5 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,Knopf Doubleday,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",2011-03-13,Stieg Larsson,,THE GIRL WHO KICKED THE HORNET’S NEST,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.23,725317.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
68,9,New this week,GIDEON’S SWORD,Douglas Preston and Lincoln Child,Grand Central,Gideon Crew avenges his father’s death and is sent on a mission by a government contractor.,2011-03-13,Douglas Preston,Lincoln Child,GIDEON’S SWORD,"Gideon's Sword (Gideon Crew, #1)",https://www.goodreads.com/author/show/12577.Douglas_Preston?from_search=true&from_srp=true,3.66,19572.0,2011,"Cambridge, Massachusetts, The United States","Cambridge, Massachusetts, The United States",Point,"[-71.10973349999999, 42.3736158]"
69,10,3 weeks on the list,A DISCOVERY OF WITCHES,Deborah Harkness,Penguin Group,The recovery of a lost ancient manuscript in a library at Oxford sets a fantastical underworld stirring.,2011-03-13,Deborah Harkness,,A DISCOVERY OF WITCHES,"A Discovery of Witches (All Souls, #1)",https://www.goodreads.com/author/show/3849415.Deborah_Harkness?from_search=true&from_srp=true,4.02,478703.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
70,11,New this week,THIS SIDE OF THE GRAVE,Jeaniene Frost,HarperCollins,"Cat Crawfield and her vampire husband, Bones, are forced to seek help from a dangerous “ally.”",2011-03-13,Jeaniene Frost,,THIS SIDE OF THE GRAVE,"This Side of the Grave (Night Huntress, #5)",https://www.goodreads.com/author/show/669810.Jeaniene_Frost?from_search=true&from_srp=true,4.26,62725.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
71,12,5 weeks on the list,CUTTING FOR STONE,Abraham Verghese,Knopf Doubleday,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia.",2011-03-13,Abraham Verghese,,,,,,,2011,,,,
72,13,New this week,A CREED IN STONE CREEK,Linda Lael Miller,Harlequin,"Steven Creed becomes the guardian of a 5-year-old boy, trading his law firm for a ranch near his McKettrick family in Stone Creek, Ariz.",2011-03-13,Linda Lael Miller,,A CREED IN STONE CREEK,"A Creed In Stone Creek (Montana Creeds, #5)",https://www.goodreads.com/author/show/6223.Linda_Lael_Miller?from_search=true&from_srp=true,4.08,4198.0,2011,"Washington (state), The United States","Washington (state), The United States",Point,"[-120.7401386, 47.7510741]"
73,14,New this week,HARVEST MOON,Robyn Carr,Harlequin,"Disillusioned and burned out as a chef, Kelly Matlock retreats to her sister’s house in Virgin River, where she meets a handsome widower and his rebellious stepdaughter.",2011-03-13,Robyn Carr,,HARVEST MOON,"Harvest Moon (Virgin River, #13)",https://www.goodreads.com/author/show/107767.Robyn_Carr?from_search=true&from_srp=true,4.25,18051.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
74,15,5 weeks on the list,THE HELP,Kathryn Stockett,Penguin Group,A young white woman and two black maids in 1960s Mississippi.,2011-03-13,Kathryn Stockett,,THE HELP,The Help,https://www.goodreads.com/author/show/1943477.Kathryn_Stockett?from_search=true&from_srp=true,4.47,2678112.0,2011,"Jackson, Mississippi, The United States","Jackson, Mississippi, The United States",Point,"[-90.1848103, 32.2987573]"
75,1,New this week,SING YOU HOME,Jodi Picoult,Simon & Schuster,Picoult takes on the issue of gay rights in this novel about a music therapist who desperately wants a child.,2011-03-20,Jodi Picoult,,SING YOU HOME,Sing You Home,https://www.goodreads.com/author/show/7128.Jodi_Picoult?from_search=true&from_srp=true,3.81,91286.0,2011,"Nesconset, Long Island, New York,, The United States","Nesconset, Long Island, New York,, The United States",Point,"[-73.1540004, 40.8520426]"
76,2,New this week,THE WISE MAN'S FEAR,Patrick Rothfuss,Penguin Group,"In this sequel to “The Name of the Wind,” the magician Kvothe continues to narrate his fantastical life story.",2011-03-20,Patrick Rothfuss,,THE WISE MAN'S FEAR,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",https://www.goodreads.com/author/show/108424.Patrick_Rothfuss?from_search=true&from_srp=true,4.55,540482.0,2011,"Madison, Wisconsin, The United States","Madison, Wisconsin, The United States",Point,"[-89.4007501, 43.0721661]"
77,3,New this week,RIVER MARKED,Patricia Briggs,Penguin Group,"The shapeshifter Mercy Thompson and her mate, the Alpha werewolf Adam, must confront evil lurking in the Columbia River.",2011-03-20,Patricia Briggs,,RIVER MARKED,"River Marked (Mercy Thompson, #6)",https://www.goodreads.com/author/show/40563.Patricia_Briggs?from_search=true&from_srp=true,4.28,87634.0,2011,"Butte, Montana, The United States","Butte, Montana, The United States",Point,"[-112.5347776, 46.0038232]"
78,4,6 weeks on the list,WATER FOR ELEPHANTS,Sara Gruen,Algonquin,"After his parents die in a car accident, young veterinary student — and an elephant — save a Depression-era circus.",2011-03-20,Sara Gruen,,WATER FOR ELEPHANTS,Water for Elephants,https://www.goodreads.com/author/show/24556.Sara_Gruen?from_search=true&from_srp=true,4.11,1586438.0,2011,"Vancouver, Canada","Vancouver, Canada",Point,"[-123.1207375, 49.2827291]"
79,5,6 weeks on the list,TICK TOCK,James Patterson and Michael Ledwidge,"Little, Brown",The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.,2011-03-20,James Patterson,Michael Ledwidge,TICK TOCK,"Tick Tock (Michael Bennett, #4)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.09,29129.0,2011,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
80,6,6 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,Knopf Doubleday,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",2011-03-20,Stieg Larsson,,THE GIRL WHO KICKED THE HORNET’S NEST,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.23,725317.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
81,7,6 weeks on the list,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf Doubleday,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier.,2011-03-20,Stieg Larsson,,THE GIRL WITH THE DRAGON TATTOO,"The Girl with the Dragon Tattoo (Millennium, #1)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.16,3108073.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
82,8,2 weeks on the list,TREACHERY IN DEATH,J. D. Robb,Penguin Group,"Eve Dallas and her partner, Peabody, investigate a grocer’s murder.",2011-03-20,J. D. Robb,,,,,,,2011,,,,
83,9,4 weeks on the list,ALONE,Lisa Gardner,Random House,A woman who survived a childhood abduction may have tricked the Massachusetts police sniper Bobby Dodge into killing her husband.,2011-03-20,Lisa Gardner,,ALONE,"Alone (Detective D.D. Warren, #1)",https://www.goodreads.com/author/show/18282.Lisa_Gardner?from_search=true&from_srp=true,3.97,66059.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
84,10,6 weeks on the list,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,Knopf Doubleday,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect.",2011-03-20,Stieg Larsson,,THE GIRL WHO PLAYED WITH FIRE,"The Girl Who Played with Fire (Millennium, #2)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.25,909723.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
85,11,4 weeks on the list,A DISCOVERY OF WITCHES,Deborah Harkness,Penguin Group,The recovery of a lost ancient manuscript in a library at Oxford sets a fantastical underworld stirring.,2011-03-20,Deborah Harkness,,A DISCOVERY OF WITCHES,"A Discovery of Witches (All Souls, #1)",https://www.goodreads.com/author/show/3849415.Deborah_Harkness?from_search=true&from_srp=true,4.02,478703.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
86,12,New this week,MINDING FRANKIE,Maeve Binchy,Knopf Doubleday,A motherless girl is cared for by a Dublin community.,2011-03-20,Maeve Binchy,,MINDING FRANKIE,Minding Frankie,https://www.goodreads.com/author/show/3532.Maeve_Binchy?from_search=true&from_srp=true,3.85,26346.0,2011,"Dalkey, County Dublin, Ireland","Dalkey, County Dublin, Ireland",Point,"[-6.1058436, 53.2779106]"
87,13,New this week,LIVE WIRE,Lora Leigh,St. Martin’s,"Jordan Malone, commander of the Elite Ops, is driven to distraction by the one woman he cannot resist: Tehya Talamosi, code name Enigma.",2011-03-20,Lora Leigh,,LIVE WIRE,"Live Wire (Elite Ops, #7)",https://www.goodreads.com/author/show/2614.Lora_Leigh?from_search=true&from_srp=true,4.24,7109.0,2011,,,,
88,14,6 weeks on the list,CUTTING FOR STONE,Abraham Verghese,Knopf Doubleday,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia.",2011-03-20,Abraham Verghese,,,,,,,2011,,,,
89,15,2 weeks on the list,A CREED IN STONE CREEK,Linda Lael Miller,Harlequin,"Steven Creed becomes the guardian of a 5-year-old boy, trading his law firm for a ranch near his McKettrick family in Stone Creek, Ariz.",2011-03-20,Linda Lael Miller,,A CREED IN STONE CREEK,"A Creed In Stone Creek (Montana Creeds, #5)",https://www.goodreads.com/author/show/6223.Linda_Lael_Miller?from_search=true&from_srp=true,4.08,4198.0,2011,"Washington (state), The United States","Washington (state), The United States",Point,"[-120.7401386, 47.7510741]"
90,1,7 weeks on the list,WATER FOR ELEPHANTS,Sara Gruen,Algonquin,"After the death of his parents in a car accident, a young veterinary student — and an elephant — save a Depression-era circus.",2011-03-27,Sara Gruen,,WATER FOR ELEPHANTS,Water for Elephants,https://www.goodreads.com/author/show/24556.Sara_Gruen?from_search=true&from_srp=true,4.11,1586438.0,2011,"Vancouver, Canada","Vancouver, Canada",Point,"[-123.1207375, 49.2827291]"
91,2,New this week,THE JUNGLE,Clive Cussler with Jack Du Brul,Penguin Group,Juan Cabrillo and the crew of the Oregon undertake rescue operations from Afghanistan to Myanmar.,2011-03-27,Clive Cussler with Jack Du Brul,,,,,,,2011,,,,
92,3,2 weeks on the list,SING YOU HOME,Jodi Picoult,Simon & Schuster,Picoult takes on the issue of gay rights in this novel about a music therapist who desperately wants a child.,2011-03-27,Jodi Picoult,,SING YOU HOME,Sing You Home,https://www.goodreads.com/author/show/7128.Jodi_Picoult?from_search=true&from_srp=true,3.81,91286.0,2011,"Nesconset, Long Island, New York,, The United States","Nesconset, Long Island, New York,, The United States",Point,"[-73.1540004, 40.8520426]"
93,4,New this week,LOVE YOU MORE,Lisa Gardner,Random House,"Detective D. D. Warren must solve the case of a dead husband, a battered wife and a missing child.",2011-03-27,Lisa Gardner,,LOVE YOU MORE,"Love You More (Tessa Leoni, #1; Detective D.D. Warren, #5)",https://www.goodreads.com/author/show/18282.Lisa_Gardner?from_search=true&from_srp=true,4.18,50987.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
94,5,7 weeks on the list,THE GIRL WHO KICKED THE HORNET’S NEST,Stieg Larsson,Knopf Doubleday,"The third volume of the Millennium trilogy, about a Swedish hacker and a journalist.",2011-03-27,Stieg Larsson,,THE GIRL WHO KICKED THE HORNET’S NEST,"The Girl Who Kicked the Hornet's Nest (Millennium, #3)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.23,725317.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
95,6,7 weeks on the list,THE GIRL WITH THE DRAGON TATTOO,Stieg Larsson,Knopf Doubleday,A hacker and a journalist investigate the disappearance of a Swedish heiress 40 years earlier.,2011-03-27,Stieg Larsson,,THE GIRL WITH THE DRAGON TATTOO,"The Girl with the Dragon Tattoo (Millennium, #1)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.16,3108073.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
96,7,7 weeks on the list,THE GIRL WHO PLAYED WITH FIRE,Stieg Larsson,Knopf Doubleday,"In the second volume of the Millennium trilogy, a Swedish hacker becomes a murder suspect.",2011-03-27,Stieg Larsson,,THE GIRL WHO PLAYED WITH FIRE,"The Girl Who Played with Fire (Millennium, #2)",https://www.goodreads.com/author/show/706255.Stieg_Larsson?from_search=true&from_srp=true,4.25,909723.0,2011,"Skelleftehamn , Sweden","Skelleftehamn , Sweden",Point,"[21.2361263, 64.6861026]"
97,8,7 weeks on the list,TICK TOCK,James Patterson and Michael Ledwidge,"Little, Brown",The New York detective Michael Bennett enlists the help of a former colleague to solve a rash of horrifying crimes that are throwing the city into chaos.,2011-03-27,James Patterson,Michael Ledwidge,TICK TOCK,"Tick Tock (Michael Bennett, #4)",https://www.goodreads.com/author/show/3780.James_Patterson?from_search=true&from_srp=true,4.09,29129.0,2011,"Newburgh, New York, The United States","Newburgh, New York, The United States",Point,"[-74.0104178, 41.5034271]"
98,9,5 weeks on the list,A DISCOVERY OF WITCHES,Deborah Harkness,Penguin Group,The recovery of a lost ancient manuscript in a library at Oxford sets a fantastical underworld stirring.,2011-03-27,Deborah Harkness,,A DISCOVERY OF WITCHES,"A Discovery of Witches (All Souls, #1)",https://www.goodreads.com/author/show/3849415.Deborah_Harkness?from_search=true&from_srp=true,4.02,478703.0,2011,The United States,The United States,Point,"[-95.712891, 37.09024]"
99,10,New this week,THE LINCOLN LAWYER,Michael Connelly,"Little, Brown","Routinely doing business from his Lincoln Town Cars, the bottom-feeding attorney Mickey Haller is asked to defend the scion of a wealthy family who might not be guilty of a murderous crime.",2011-03-27,Michael Connelly,,THE LINCOLN LAWYER,"The Lincoln Lawyer (The Lincoln Lawyer, #1; Harry Bosch Universe, #15)",https://www.goodreads.com/author/show/12470.Michael_Connelly?from_search=true&from_srp=true,4.2,231118.0,2011,"Philadelphia, Pennsylvania, The United States","Philadelphia, Pennsylvania, The United States",Point,"[-75.1652215, 39.9525839]"
100,11,2 weeks on the list,THE WISE MAN'S FEAR,Patrick Rothfuss,Penguin Group,"In this sequel to “The Name of the Wind,” the magician Kvothe continues to narrate his fantastical life story.",2011-03-27,Patrick Rothfuss,,THE WISE MAN'S FEAR,"The Wise Man's Fear (The Kingkiller Chronicle, #2)",https://www.goodreads.com/author/show/108424.Patrick_Rothfuss?from_search=true&from_srp=true,4.55,540482.0,2011,"Madison, Wisconsin, The United States","Madison, Wisconsin, The United States",Point,"[-89.4007501, 43.0721661]"
101,12,7 weeks on the list,CUTTING FOR STONE,Abraham Verghese,Knopf Doubleday,"Twin brothers, conjoined at birth and then separated, grow up amid the political turmoil of Ethiopia.",2011-03-27,Abraham Verghese,,,,,,,2011,,,,
102,13,New this week,THE PARIS WIFE,Paula McLain,Random House,"Ernest Hemingway’s first wife, Hadley, narrates this novel set in Paris.",2011-03-27,Paula McLain,,THE PARIS WIFE,The Paris Wife,https://www.goodreads.com/author/show/290189.Paula_McLain?from_search=true&from_srp=true,3.82,294094.0,2011,"Fresno, California, The United States","Fresno, California, The United States",Point,"[-119.7871247, 36.7377981]"
103,14,6 weeks on the list,THE HELP,Kathryn Stockett,Penguin Group,A young white woman and two black maids in 1960s Mississippi.,2011-03-27,Kathryn Stockett,,THE HELP,The Help,https://www.goodreads.com/author/show/1943477.Kathryn_Stockett?from_search=true&from_srp=true,4.47,2678112.0,2011,"Jackson, Mississippi, The United States","Jackson, Mississippi, The United States",Point,"[-90.1848103, 32.2987573]"
